City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Carnarvon,AU,-24.8667,113.6333,64.83,63,8,10.98,clear sky
80,Masvingo,ZW,-20.0637,30.8277,62.53,33,0,5.39,clear sky
81,Lavrentiya,RU,65.5833,-171.0,38.77,75,100,9.95,overcast clouds
82,Severo-Kurilsk,RU,50.6789,156.125,53.62,94,77,8.19,broken clouds
83,Cherskiy,RU,68.75,161.3,36.36,83,99,7.63,overcast clouds
84,Ternate,ID,0.8,127.4,79.09,81,100,4.25,overcast clouds
85,Kaniama,CD,-7.5667,24.1833,72.03,72,23,0.92,few clouds
86,Aksha,RU,50.2814,113.2867,37.94,96,100,13.51,overcast clouds
87,Sabang,ID,5.8933,95.3214,81.64,71,99,17.07,overcast clouds
88,Bonthe,SL,7.5264,-12.505,77.43,85,29,5.44,scattered clouds
89,Pevek,RU,69.7008,170.3133,34.12,99,100,3.87,overcast clouds
90,Bilma,NE,18.6853,12.9164,97.07,16,62,4.14,broken clouds
91,Bentiu,SS,9.2333,29.8333,71.94,93,100,1.81,overcast clouds
92,Thomastown,IE,52.5267,-7.1372,63.43,85,100,13.76,light rain
93,Torbay,CA,47.6666,-52.7314,69.17,83,75,8.05,broken clouds
94,Alyangula,AU,-13.8483,136.4192,57.07,94,40,2.3,fog
95,Keti Bandar,PK,24.1447,67.4497,81.43,77,98,21.56,overcast clouds
96,Ponta Delgada,PT,37.7333,-25.6667,74.12,68,20,10.36,few clouds
97,Antofagasta,CL,-23.65,-70.4,58.28,65,14,6.89,few clouds
98,Iqaluit,CA,63.7506,-68.5145,42.53,70,100,20.71,overcast clouds
99,Hermanus,ZA,-34.4187,19.2345,51.8,77,90,26.96,light rain
100,Ponta Do Sol,PT,32.6667,-17.1,76.01,76,51,4.56,broken clouds
101,Ugoofaaru,MV,5.6667,73.0,79.45,85,100,24.87,heavy intensity rain
102,Maniitsoq,GL,65.4167,-52.9,45.66,89,99,12.5,overcast clouds
103,Obera,AR,-27.4871,-55.1199,62.49,44,72,4.09,broken clouds
104,Pisco,PE,-13.7,-76.2167,63.01,82,75,11.5,mist
105,Margate,GB,51.3813,1.3862,68.31,75,91,3.0,overcast clouds
106,Zyryanka,RU,65.75,150.85,34.38,75,92,6.78,overcast clouds
107,Saldanha,ZA,-33.0117,17.9442,53.65,76,8,23.47,light rain
108,Trairi,BR,-3.2778,-39.2689,80.42,75,79,16.8,broken clouds
109,Dickinson,US,29.4608,-95.0513,83.16,82,100,7.43,overcast clouds
110,Albany,US,42.6001,-73.9662,83.39,75,100,2.35,overcast clouds
111,Igarka,RU,67.4667,86.5833,42.91,98,100,5.57,overcast clouds
112,Skibbereen,IE,51.55,-9.2667,60.12,88,100,17.29,light rain
113,Te Anau,NZ,-45.4167,167.7167,32.36,95,78,0.45,broken clouds
