City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Dunedin,-45.8742,170.5036,46.8,77,90,5.39,NZ,2022-08-30 01:30:05
68,Torbay,47.6666,-52.7314,64.76,90,100,19.57,CA,2022-08-30 01:30:41
69,Calabozo,8.9242,-67.4293,74.44,92,99,1.05,VE,2022-08-30 01:34:32
70,Jiazi,22.8779,116.067,84.7,73,5,2.55,CN,2022-08-30 01:34:32
71,Hereford,52.0568,-2.7148,56.73,85,5,6.35,GB,2022-08-30 01:34:33
72,Bhatkal,13.9667,74.5667,77.61,91,99,11.3,IN,2022-08-30 01:34:33
73,Menongue,-14.6585,17.691,58.14,34,9,3.78,AO,2022-08-30 01:34:34
74,Tuatapere,-46.1333,167.6833,55.8,64,90,1.34,NZ,2022-08-30 01:34:34
75,Bushehr,28.9684,50.8385,86.09,70,0,4.61,IR,2022-08-30 01:34:34
76,Hilo,19.7297,-155.09,83.28,77,75,10.36,US,2022-08-30 01:30:30
77,Hobart,-42.8794,147.3294,55.26,95,75,10.36,AU,2022-08-30 01:33:40
78,Roma,43.2128,-75.4557,82.72,78,100,6.91,US,2022-08-30 01:30:45
79,Santa Helena,-2.2311,-45.3,71.78,98,22,3.18,BR,2022-08-30 01:34:35
80,Ilulissat,69.2167,-51.1,55.42,44,75,19.57,GL,2022-08-30 01:34:35
81,Tasiilaq,65.6145,-37.6368,46.56,95,100,27.92,GL,2022-08-30 01:34:36
82,Ust-Maya,60.4167,134.5333,68.56,41,22,6.46,RU,2022-08-30 01:34:36
83,Lagoa,39.05,-27.9833,73.29,88,15,3.98,PT,2022-08-30 01:34:36
84,Carnarvon,-24.8667,113.6333,67.89,34,4,10.58,AU,2022-08-30 01:34:37
85,Ovalle,-30.5983,-71.2003,59.32,72,0,1.63,CL,2022-08-30 01:34:37
86,Muros,42.7762,-9.0603,63.84,90,64,5.55,ES,2022-08-30 01:34:37
87,Saldanha,-33.0117,17.9442,48.25,64,0,19.15,ZA,2022-08-30 01:34:38
88,Tura,25.5198,90.2201,79.84,86,97,3.11,IN,2022-08-30 01:34:38
89,Port Blair,11.6667,92.75,82.44,83,75,0.0,IN,2022-08-30 01:33:16
90,Cabo San Lucas,22.8909,-109.9124,88.11,62,20,10.36,MX,2022-08-30 01:34:06
91,East London,-33.0153,27.9116,56.7,54,99,18.37,ZA,2022-08-30 01:35:39
92,Bolivar,37.6145,-93.4105,71.47,92,55,3.56,US,2022-08-30 01:35:39
93,Kapaa,22.0752,-159.319,82.72,72,40,13.8,US,2022-08-30 01:35:40
94,Hasaki,35.7333,140.8333,77.29,86,100,11.43,JP,2022-08-30 01:35:40
95,Mar Del Plata,-38.0023,-57.5575,49.87,69,0,14.0,AR,2022-08-30 01:35:41
96,Itarema,-2.9248,-39.9167,77.52,85,31,14.85,BR,2022-08-30 01:35:41
97,Qandala,11.472,49.8728,85.19,61,36,4.83,SO,2022-08-30 01:35:42
98,Longyearbyen,78.2186,15.6401,37.24,81,75,3.44,SJ,2022-08-30 01:35:42
99,Cape Town,-33.9258,18.4232,53.28,66,0,14.97,ZA,2022-08-30 01:35:42
100,Bredasdorp,-34.5322,20.0403,49.32,76,83,8.05,ZA,2022-08-30 01:34:31
101,At-Bashi,41.1702,75.8106,54.99,29,0,0.72,KG,2022-08-30 01:35:43
102,Khatanga,71.9667,102.5,42.17,89,100,7.61,RU,2022-08-30 01:35:43
103,Kanker,20.2719,81.4931,78.51,80,36,1.83,IN,2022-08-30 01:35:44
104,Grants,35.1473,-107.8514,79.03,19,0,5.75,US,2022-08-30 01:35:44
105,Filadelfia,39.9523,-75.1638,82.29,75,40,6.91,US,2022-08-30 01:35:45
106,Port Hedland,-20.3167,118.5667,78.85,14,81,21.85,AU,2022-08-30 01:35:45
107,Adrar,20.5022,-10.0711,90.81,41,86,9.53,MR,2022-08-30 01:35:45
108,Barra Patuca,15.8,-84.2833,80.33,84,99,9.8,HN,2022-08-30 01:35:46
109,Vaini,-21.2,-175.2,73.56,94,40,11.5,TO,2022-08-30 01:35:46
110,Noumea,-22.2763,166.4572,76.98,99,9,17.0,NC,2022-08-30 01:34:48
111,Plettenberg Bay,-34.0527,23.3716,53.76,64,100,9.42,ZA,2022-08-30 01:35:47
112,Bathsheba,13.2167,-59.5167,83.01,83,75,14.97,BB,2022-08-30 01:35:47
113,Saint-Philippe,-21.3585,55.7679,69.39,84,10,7.18,RE,2022-08-30 01:35:47
114,Barrow,71.2906,-156.7887,42.82,81,100,6.91,US,2022-08-30 01:35:48
115,Fort Stewart,31.8722,-81.61,80.69,67,75,0.0,US,2022-08-30 01:35:48
116,Saint-Louis,16.3333,-15.0,79.11,75,100,16.58,SN,2022-08-30 01:35:49
117,Geraldton,-28.7667,114.6,55.81,62,0,8.05,AU,2022-08-30 01:31:31
118,Pitimbu,-7.4706,-34.8086,73.99,84,5,11.63,BR,2022-08-30 01:35:49
